month,route,flights
2019-10-01,all domestic,56113
2019-11-01,all domestic,52615
2019-12-01,all domestic,52112
2020-01-01,all domestic,50230
2020-02-01,all domestic,48410
2020-03-01,all domestic,43127
2020-04-01,all domestic,8248
2020-05-01,all domestic,7840
2020-06-01,all domestic,10332
2020-07-01,all domestic,14904
2020-08-01,all domestic,14250
2020-09-01,all domestic,16049
2019-10-01,Albury - Sydney,534
2019-11-01,Albury - Sydney,525
2019-12-01,Albury - Sydney,460
2020-01-01,Albury - Sydney,323
2020-02-01,Albury - Sydney,459
2020-03-01,Albury - Sydney,435
2020-04-01,Albury - Sydney,41
2020-05-01,Albury - Sydney,33
2020-06-01,Albury - Sydney,na
2020-07-01,Albury - Sydney,na
2020-08-01,Albury - Sydney,na
2020-09-01,Albury - Sydney,na
2019-10-01,Adelaide - Alice Springs,123
2019-11-01,Adelaide - Alice Springs,118
2019-12-01,Adelaide - Alice Springs,120
2020-01-01,Adelaide - Alice Springs,113
2020-02-01,Adelaide - Alice Springs,114
2020-03-01,Adelaide - Alice Springs,114
2020-04-01,Adelaide - Alice Springs,na
2020-05-01,Adelaide - Alice Springs,0
2020-06-01,Adelaide - Alice Springs,0
2020-07-01,Adelaide - Alice Springs,na
2020-08-01,Adelaide - Alice Springs,na
2020-09-01,Adelaide - Alice Springs,na
2019-10-01,Adelaide - Brisbane,575
2019-11-01,Adelaide - Brisbane,537
2019-12-01,Adelaide - Brisbane,559
2020-01-01,Adelaide - Brisbane,545
2020-02-01,Adelaide - Brisbane,496
2020-03-01,Adelaide - Brisbane,422
2020-04-01,Adelaide - Brisbane,na
2020-05-01,Adelaide - Brisbane,0
2020-06-01,Adelaide - Brisbane,na
2020-07-01,Adelaide - Brisbane,140
2020-08-01,Adelaide - Brisbane,270
2020-09-01,Adelaide - Brisbane,244
2019-10-01,Adelaide - Canberra,160
2019-11-01,Adelaide - Canberra,143
2019-12-01,Adelaide - Canberra,136
2020-01-01,Adelaide - Canberra,120
2020-02-01,Adelaide - Canberra,138
2020-03-01,Adelaide - Canberra,123
2020-04-01,Adelaide - Canberra,0
2020-05-01,Adelaide - Canberra,0
2020-06-01,Adelaide - Canberra,0
2020-07-01,Adelaide - Canberra,na
2020-08-01,Adelaide - Canberra,na
2020-09-01,Adelaide - Canberra,na
2019-10-01,Adelaide - Melbourne,1659
2019-11-01,Adelaide - Melbourne,1574
2019-12-01,Adelaide - Melbourne,1544
2020-01-01,Adelaide - Melbourne,1483
2020-02-01,Adelaide - Melbourne,1497
2020-03-01,Adelaide - Melbourne,1291
2020-04-01,Adelaide - Melbourne,225
2020-05-01,Adelaide - Melbourne,192
2020-06-01,Adelaide - Melbourne,192
2020-07-01,Adelaide - Melbourne,215
2020-08-01,Adelaide - Melbourne,148
2020-09-01,Adelaide - Melbourne,175
2019-10-01,Adelaide - Gold Coast,127
2019-11-01,Adelaide - Gold Coast,108
2019-12-01,Adelaide - Gold Coast,127
2020-01-01,Adelaide - Gold Coast,128
2020-02-01,Adelaide - Gold Coast,109
2020-03-01,Adelaide - Gold Coast,91
2020-04-01,Adelaide - Gold Coast,0
2020-05-01,Adelaide - Gold Coast,0
2020-06-01,Adelaide - Gold Coast,0
2020-07-01,Adelaide - Gold Coast,na
2020-08-01,Adelaide - Gold Coast,na
2020-09-01,Adelaide - Gold Coast,na
2019-10-01,Adelaide - Perth,500
2019-11-01,Adelaide - Perth,455
2019-12-01,Adelaide - Perth,452
2020-01-01,Adelaide - Perth,434
2020-02-01,Adelaide - Perth,425
2020-03-01,Adelaide - Perth,380
2020-04-01,Adelaide - Perth,50
2020-05-01,Adelaide - Perth,na
2020-06-01,Adelaide - Perth,na
2020-07-01,Adelaide - Perth,na
2020-08-01,Adelaide - Perth,na
2020-09-01,Adelaide - Perth,na
2019-10-01,Adelaide - Port Lincoln,635
2019-11-01,Adelaide - Port Lincoln,616
2019-12-01,Adelaide - Port Lincoln,593
2020-01-01,Adelaide - Port Lincoln,559
2020-02-01,Adelaide - Port Lincoln,555
2020-03-01,Adelaide - Port Lincoln,500
2020-04-01,Adelaide - Port Lincoln,52
2020-05-01,Adelaide - Port Lincoln,38
2020-06-01,Adelaide - Port Lincoln,na
2020-07-01,Adelaide - Port Lincoln,na
2020-08-01,Adelaide - Port Lincoln,na
2020-09-01,Adelaide - Port Lincoln,na
2019-10-01,Adelaide - Sydney,1156
2019-11-01,Adelaide - Sydney,1105
2019-12-01,Adelaide - Sydney,1114
2020-01-01,Adelaide - Sydney,1096
2020-02-01,Adelaide - Sydney,1022
2020-03-01,Adelaide - Sydney,902
2020-04-01,Adelaide - Sydney,116
2020-05-01,Adelaide - Sydney,na
2020-06-01,Adelaide - Sydney,na
2020-07-01,Adelaide - Sydney,134
2020-08-01,Adelaide - Sydney,130
2020-09-01,Adelaide - Sydney,150
2019-10-01,Armidale - Sydney,392
2019-11-01,Armidale - Sydney,369
2019-12-01,Armidale - Sydney,325
2020-01-01,Armidale - Sydney,285
2020-02-01,Armidale - Sydney,335
2020-03-01,Armidale - Sydney,296
2020-04-01,Armidale - Sydney,na
2020-05-01,Armidale - Sydney,na
2020-06-01,Armidale - Sydney,na
2020-07-01,Armidale - Sydney,na
2020-08-01,Armidale - Sydney,na
2020-09-01,Armidale - Sydney,na
2019-10-01,Alice Springs - Darwin,168
2019-11-01,Alice Springs - Darwin,137
2019-12-01,Alice Springs - Darwin,103
2020-01-01,Alice Springs - Darwin,88
2020-02-01,Alice Springs - Darwin,na
2020-03-01,Alice Springs - Darwin,na
2020-04-01,Alice Springs - Darwin,na
2020-05-01,Alice Springs - Darwin,na
2020-06-01,Alice Springs - Darwin,na
2020-07-01,Alice Springs - Darwin,na
2020-08-01,Alice Springs - Darwin,na
2020-09-01,Alice Springs - Darwin,na
2019-10-01,Ayers Rock - Sydney,123
2019-11-01,Ayers Rock - Sydney,110
2019-12-01,Ayers Rock - Sydney,114
2020-01-01,Ayers Rock - Sydney,114
2020-02-01,Ayers Rock - Sydney,104
2020-03-01,Ayers Rock - Sydney,91
2020-04-01,Ayers Rock - Sydney,0
2020-05-01,Ayers Rock - Sydney,0
2020-06-01,Ayers Rock - Sydney,0
2020-07-01,Ayers Rock - Sydney,0
2020-08-01,Ayers Rock - Sydney,0
2020-09-01,Ayers Rock - Sydney,0
2019-10-01,Brisbane - Bundaberg,308
2019-11-01,Brisbane - Bundaberg,300
2019-12-01,Brisbane - Bundaberg,291
2020-01-01,Brisbane - Bundaberg,271
2020-02-01,Brisbane - Bundaberg,272
2020-03-01,Brisbane - Bundaberg,253
2020-04-01,Brisbane - Bundaberg,50
2020-05-01,Brisbane - Bundaberg,na
2020-06-01,Brisbane - Bundaberg,na
2020-07-01,Brisbane - Bundaberg,na
2020-08-01,Brisbane - Bundaberg,na
2020-09-01,Brisbane - Bundaberg,na
2019-10-01,Broome - Perth,337
2019-11-01,Broome - Perth,277
2019-12-01,Broome - Perth,292
2020-01-01,Broome - Perth,278
2020-02-01,Broome - Perth,268
2020-03-01,Broome - Perth,172
2020-04-01,Broome - Perth,55
2020-05-01,Broome - Perth,46
2020-06-01,Broome - Perth,68
2020-07-01,Broome - Perth,160
2020-08-01,Broome - Perth,186
2020-09-01,Broome - Perth,278
2019-10-01,Brisbane - Canberra,575
2019-11-01,Brisbane - Canberra,529
2019-12-01,Brisbane - Canberra,558
2020-01-01,Brisbane - Canberra,530
2020-02-01,Brisbane - Canberra,492
2020-03-01,Brisbane - Canberra,422
2020-04-01,Brisbane - Canberra,0
2020-05-01,Brisbane - Canberra,0
2020-06-01,Brisbane - Canberra,78
2020-07-01,Brisbane - Canberra,134
2020-08-01,Brisbane - Canberra,110
2020-09-01,Brisbane - Canberra,79
2019-10-01,Brisbane - Cairns,938
2019-11-01,Brisbane - Cairns,855
2019-12-01,Brisbane - Cairns,884
2020-01-01,Brisbane - Cairns,933
2020-02-01,Brisbane - Cairns,785
2020-03-01,Brisbane - Cairns,675
2020-04-01,Brisbane - Cairns,122
2020-05-01,Brisbane - Cairns,119
2020-06-01,Brisbane - Cairns,206
2020-07-01,Brisbane - Cairns,467
2020-08-01,Brisbane - Cairns,642
2020-09-01,Brisbane - Cairns,755
2019-10-01,Brisbane - Darwin,237
2019-11-01,Brisbane - Darwin,201
2019-12-01,Brisbane - Darwin,227
2020-01-01,Brisbane - Darwin,230
2020-02-01,Brisbane - Darwin,169
2020-03-01,Brisbane - Darwin,151
2020-04-01,Brisbane - Darwin,na
2020-05-01,Brisbane - Darwin,na
2020-06-01,Brisbane - Darwin,na
2020-07-01,Brisbane - Darwin,112
2020-08-01,Brisbane - Darwin,130
2020-09-01,Brisbane - Darwin,140
2019-10-01,Brisbane - Emerald,392
2019-11-01,Brisbane - Emerald,366
2019-12-01,Brisbane - Emerald,350
2020-01-01,Brisbane - Emerald,350
2020-02-01,Brisbane - Emerald,347
2020-03-01,Brisbane - Emerald,349
2020-04-01,Brisbane - Emerald,na
2020-05-01,Brisbane - Emerald,na
2020-06-01,Brisbane - Emerald,na
2020-07-01,Brisbane - Emerald,na
2020-08-01,Brisbane - Emerald,na
2020-09-01,Brisbane - Emerald,na
2019-10-01,Brisbane - Gladstone,438
2019-11-01,Brisbane - Gladstone,418
2019-12-01,Brisbane - Gladstone,397
2020-01-01,Brisbane - Gladstone,401
2020-02-01,Brisbane - Gladstone,400
2020-03-01,Brisbane - Gladstone,372
2020-04-01,Brisbane - Gladstone,110
2020-05-01,Brisbane - Gladstone,44
2020-06-01,Brisbane - Gladstone,54
2020-07-01,Brisbane - Gladstone,na
2020-08-01,Brisbane - Gladstone,na
2020-09-01,Brisbane - Gladstone,na
2019-10-01,Brisbane - Hobart,132
2019-11-01,Brisbane - Hobart,139
2019-12-01,Brisbane - Hobart,171
2020-01-01,Brisbane - Hobart,174
2020-02-01,Brisbane - Hobart,131
2020-03-01,Brisbane - Hobart,110
2020-04-01,Brisbane - Hobart,0
2020-05-01,Brisbane - Hobart,0
2020-06-01,Brisbane - Hobart,0
2020-07-01,Brisbane - Hobart,na
2020-08-01,Brisbane - Hobart,na
2020-09-01,Brisbane - Hobart,na
2019-10-01,Brisbane - Hamilton Island,124
2019-11-01,Brisbane - Hamilton Island,120
2019-12-01,Brisbane - Hamilton Island,124
2020-01-01,Brisbane - Hamilton Island,123
2020-02-01,Brisbane - Hamilton Island,114
2020-03-01,Brisbane - Hamilton Island,97
2020-04-01,Brisbane - Hamilton Island,0
2020-05-01,Brisbane - Hamilton Island,0
2020-06-01,Brisbane - Hamilton Island,0
