month,route,flights,passengers
2019-10-01,all domestic,56113,5644809
2019-11-01,all domestic,52615,5257549
2019-12-01,all domestic,52112,5257721
2020-01-01,all domestic,50230,5096792
2020-02-01,all domestic,48410,4365610
2020-03-01,all domestic,43127,3073773
2020-04-01,all domestic,8248,145895
2020-05-01,all domestic,7840,176408
2020-06-01,all domestic,10332,379220
2020-07-01,all domestic,14904,732986
2020-08-01,all domestic,14250,579730
2020-09-01,all domestic,16049,699714
2019-10-01,Melbourne - Sydney,5397,827796
2019-10-01,Brisbane - Sydney,3107,447595
2019-10-01,Brisbane - Melbourne,2211,331472
2019-10-01,Adelaide - Melbourne,1659,231958
2019-10-01,Gold Coast - Sydney,1591,255206
2019-10-01,Canberra - Sydney,1493,89721
2019-10-01,Adelaide - Sydney,1156,176119
2019-10-01,Gold Coast - Melbourne,1131,197336
2019-10-01,Melbourne - Perth,1027,188376
2019-10-01,Canberra - Melbourne,977,111079
2019-11-01,Melbourne - Sydney,5005,803965
2019-11-01,Brisbane - Sydney,2894,413243
2019-11-01,Brisbane - Melbourne,2077,306718
2019-11-01,Adelaide - Melbourne,1574,222317
2019-11-01,Gold Coast - Sydney,1456,233161
2019-11-01,Canberra - Sydney,1427,88907
2019-11-01,Adelaide - Sydney,1105,165849
2019-11-01,Gold Coast - Melbourne,1005,174422
2019-11-01,Melbourne - Perth,996,183188
2019-11-01,Hobart - Melbourne,946,145555
2019-12-01,Melbourne - Sydney,4857,760446
2019-12-01,Brisbane - Sydney,2878,408902
2019-12-01,Brisbane - Melbourne,2205,314850
2019-12-01,Gold Coast - Sydney,1570,247753
2019-12-01,Adelaide - Melbourne,1544,207170
2019-12-01,Gold Coast - Melbourne,1188,198197
2019-12-01,Canberra - Sydney,1178,68147
2019-12-01,Adelaide - Sydney,1114,160997
2019-12-01,Hobart - Melbourne,1107,157181
2019-12-01,Melbourne - Perth,1050,197540
2020-01-01,Melbourne - Sydney,4869,746813
2020-01-01,Brisbane - Sydney,2689,377958
2020-01-01,Brisbane - Melbourne,2132,308815
2020-01-01,Gold Coast - Sydney,1696,275559
2020-01-01,Adelaide - Melbourne,1483,199449
2020-01-01,Gold Coast - Melbourne,1123,197111
2020-01-01,Adelaide - Sydney,1096,151785
2020-01-01,Hobart - Melbourne,1095,166385
2020-01-01,Melbourne - Perth,1072,195966
2020-01-01,Brisbane - Cairns,933,109739
2020-02-01,Melbourne - Sydney,4677,695402
2020-02-01,Brisbane - Sydney,2596,340988
2020-02-01,Brisbane - Melbourne,1891,239671
2020-02-01,Adelaide - Melbourne,1497,192980
2020-02-01,Gold Coast - Sydney,1329,197130
2020-02-01,Canberra - Sydney,1298,73238
2020-02-01,Adelaide - Sydney,1022,138027
2020-02-01,Hobart - Melbourne,948,135458
2020-02-01,Melbourne - Perth,927,154410
2020-02-01,Canberra - Melbourne,900,93430
2020-03-01,Melbourne - Sydney,3726,418407
2020-03-01,Brisbane - Sydney,2252,228371
2020-03-01,Brisbane - Melbourne,1663,168894
2020-03-01,Adelaide - Melbourne,1291,129387
2020-03-01,Canberra - Sydney,1071,43011
